name,cluster,submissions_count,likes_count,companies_count
shortest-word-distance-iii,4,139900,500,1
strobogrammatic-number,4,361500,588,1
strobogrammatic-number-ii,4,265200,912,2
strobogrammatic-number-iii,4,86400,300,0
group-shifted-strings,4,354400,1700,1
count-univalue-subtrees,4,268800,1200,2
flatten-2d-vector,4,254100,710,4
meeting-rooms,3,677900,2000,5
meeting-rooms-ii,2,1700000,6900,11
factor-combinations,4,255800,1100,3
verify-preorder-sequence-in-binary-search-tree,4,158200,1200,1
paint-house,4,329600,2300,2
binary-tree-paths,3,1100000,6500,1
add-digits,3,1200000,4800,3
3sum-smaller,4,293300,1500,1
single-number-iii,3,505300,5600,1
graph-valid-tree,3,818800,3200,3
trips-and-users,4,490600,1200,1
ugly-number,3,1200000,3300,2
ugly-number-ii,3,731600,5900,1
paint-house-ii,4,223200,1300,2
palindrome-permutation,4,298200,1000,2
palindrome-permutation-ii,4,161500,872,1
missing-number,2,3200000,11800,6
alien-dictionary,3,1100000,4400,6
closest-binary-search-tree-value,4,645900,1800,2
encode-and-decode-strings,4,416900,1400,2
closest-binary-search-tree-value-ii,4,198500,1300,1
integer-to-english-words,3,1200000,3000,7
h-index,3,1100000,1100,3
h-index-ii,4,528800,305,2
paint-fence,4,240600,1500,1
find-the-celebrity,3,559800,2800,3
first-bad-version,2,3800000,8300,5
perfect-squares,3,1500000,11100,5
wiggle-sort,4,208200,1200,2
zigzag-iterator,4,145400,669,1
expression-add-operators,3,556600,3300,2
move-zeroes,2,4700000,16300,13
peeking-iterator,3,367900,1800,5
inorder-successor-in-bst,4,658300,2600,1
walls-and-gates,3,505800,3100,4
find-the-duplicate-number,2,2800000,22900,8
unique-word-abbreviation,4,278000,200,1
game-of-life,3,667200,6300,2
word-pattern,3,1600000,7100,3
word-pattern-ii,4,152000,880,1
nim-game,4,653400,1700,2
flip-game,4,113300,223,1
flip-game-ii,4,135500,618,1
find-median-from-data-stream,2,1500000,11700,9
best-meeting-point,4,136000,1200,2
serialize-and-deserialize-binary-tree,2,1500000,10000,9
binary-tree-longest-consecutive-sequence,4,274700,1100,1
bulls-and-cows,4,739200,2400,1
longest-increasing-subsequence,2,3000000,20500,12
remove-invalid-parentheses,3,883800,5800,3
smallest-rectangle-enclosing-black-pixels,4,84400,523,1
range-sum-query---immutable,3,828600,3200,2
range-sum-query-2d---immutable,3,664400,4900,2
number-of-islands-ii,4,352900,1800,1
additive-number,4,282500,1100,1
range-sum-query---mutable,3,653000,4700,3
range-sum-query-2d---mutable,4,175000,798,1
best-time-to-buy-and-sell-stock-with-cooldown,3,856200,9300,1
minimum-height-trees,3,744300,7500,2
sparse-matrix-multiplication,4,278200,1000,1
burst-balloons,3,471300,8800,4
super-ugly-number,4,281000,2100,1
binary-tree-vertical-order-traversal,3,732300,3200,5
count-of-smaller-numbers-after-self,3,746400,8700,3
remove-duplicate-letters,3,662900,8500,3
shortest-distance-from-all-buildings,4,400800,1900,3
maximum-product-of-word-lengths,3,358800,3500,3
bulb-switcher,3,410300,2600,3
generalized-abbreviation,4,116300,682,1
create-maximum-number,4,199500,1900,1
coin-change,2,4000000,18600,8
number-of-connected-components-in-an-undirected-graph,4,626600,2600,1
wiggle-sort-ii,3,459000,3000,3
maximum-size-subarray-sum-equals-k,4,370700,2000,1
power-of-three,3,1800000,3000,4
count-of-range-sum,4,211700,2300,1
odd-even-linked-list,3,1500000,9700,4
longest-increasing-path-in-a-matrix,3,963800,8800,7
patching-array,4,168500,1600,1
verify-preorder-serialization-of-a-binary-tree,4,309300,2300,2
reconstruct-itinerary,3,977100,5800,5
largest-bst-subtree,4,242200,1500,2
increasing-triplet-subsequence,3,1400000,7900,2
self-crossing,4,111900,379,0
palindrome-pairs,4,578800,4400,1
house-robber-iii,3,694500,8400,1
counting-bits,3,1400000,10900,4
nested-list-weight-sum,4,325300,1700,3
longest-substring-with-at-most-k-distinct-characters,4,701500,2800,2
flatten-nested-list-iterator,3,691300,4800,6
power-of-four,3,1400000,3900,2
integer-break,3,586700,5100,2
